,plant_id,name_e,family,genus,species,eatr,medr,care,eat,med,others,name_k
160,160,Ajowan caraway,Apiaceae|Umbelliferae,Trachyspermum,ammi,2,6,MoistSoil|Fullsun,Condiment,Antiseptic|Antispasmodic|Aromatic|Bitter|Cholera|Diaphoretic|Digestive|Diuretic|Expectorant|Tonic,Essential,아지바인
161,161,Ginger: Common,Zingiberaceae,Zingiber,officinale,4,10,HalfHardy|MoistSoil|Semi|Fullsun,Condiment|Drink|Oil|Tea,Antibilious|Antirheumatic|Antitussive|Aromatic|Diaphoretic|Digestive|Expectorant|Stimulant,Cosmetic|Essential|Oil,생강
162,162,White Melilot,Fabaceae|Leguminosae,Melilotus,albus,2,4,Welldrainedsoil|MoistSoil|Fullsun,Condiment|Oil,Anticoagulant|Aromatic|Carminative|Emollient|Poultice,Oil|Repellent,흰전동싸리
163,163,Summer Savory,Lamiaceae,Satureja,hortensis,3,4,FullyHardy|Welldrainedsoil|MoistSoil|Fullsun,Condiment|Tea,Antirheumatic|Antiseptic|Aromatic|Carminative|Digestive|Expectorant|Stings|Stomachic,Essential|Repellent,세이보리
164,164,Sea Holly,Apiaceae|Umbelliferae,Eryngium,maritimum,3,6,FullyHardy|Welldrainedsoil|MoistSoil|Fullsun,,Aphrodisiac|Aromatic|Diaphoretic|Diuretic|Expectorant|Stimulant|Tonic,,에린기움
165,165,Goldencup St. Johnswort,Hypericaceae,Hypericum,patulum,0,2,FullyHardy|MoistSoil|Semi|Fullsun,,Aromatic|Stimulant,Hedge|Hedge|Wood,망종화(금사매)
166,166,Common Blue Wood Aster,Asteraceae|Compositae,Aster,cordifolius,2,2,FullyHardy|MoistSoil|Fullsun,,Antirheumatic|Aromatic|Nervine,,아스터코르디폴리우스
167,167,Large-Flowered Calamint,Lamiaceae|Labiatae,Calamintha,grandiflora,2,4,FullyHardy|Welldrainedsoil|MoistSoil|Semi|Fullsun,Condiment|Tea,Aromatic|Diaphoretic|Expectorant,,큰꽃개박하
168,168,Calamint,Lamiaceae|Labiatae,Calamintha,sylvatica,3,4,FullyHardy|Welldrainedsoil|MoistSoil|Semi|Fullsun,Condiment|Tea,Aromatic|Diaphoretic|Expectorant|Stomachic,,레서바질
169,169,Bearberry,Ericaceae,Arctostaphylos,uva-ursi,3,8,FullyHardy|MoistSoil|Fullshade|Semi|Fullsun,Tea,Antiseptic|Astringent|Diuretic|Hypnotic|Kidney|Lithontripic|Poultice|Skin|Tonic|Urinary,Beads|Dye|Pioneer|Tannin|Waterproofing,곰들쭉
170,170,Lettuce,Asteraceae|Compositae,Lactuca,sativa,3,6,FullyHardy|MoistSoil|Semi|Fullsun,Oil,Anaphrodisiac|Anodyne|Antispasmodic|Carminative|Diuretic|Emollient|Expectorant|Febrifuge|Galactogogue|Hypnotic|Hypoglycaemic|Narcotic|Parasiticide|Parasiticide|Sedative,Hair|Oil|Parasiticide|Parasiticide,상추
171,171,Chinese Motherwort,Lamiaceae|Labiatae,Leonurus,sibiricus,2,6,FullyHardy|MoistSoil|Semi|Fullsun,,Antibacterial|Antispasmodic|Astringent|Cardiac|Depurative|Diaphoretic|Diuretic|Eczema|Emmenagogue|Hypnotic|Nervine|Oxytoxic|Stimulant|Stomachic|Tonic,Essential,익모초
172,172,Bogbean,Menyanthaceae,Menyanthes,trifoliata,2,6,FullyHardy|WetSoil|WaterPlants|Fullsun,Condiment,Antiinflammatory|Appetizer|Astringent|Carminative|Cathartic|Deobstruent|Digestive|Diuretic|Dysentery|Emetic|Emmenagogue|Febrifuge|Hypnotic|Stomachic|Tonic,,조름나물
173,173,Rauwolfia,Apocynaceae,Rauvolfia,serpentina,0,8,Tender|MoistSoil|Semi|Fullsun,,Antidote|Hypnotic|Hypotensive|Ophthalmic|Sedative|Skin,,인도사목
174,174,Bog Bilberry,Ericaceae,Vaccinium,uliginosum,3,2,FullyHardy|MoistSoil|WetSoil|Semi|Fullsun,Tea,Antidiarrhoeal|Antiseptic|Astringent|Carminative|Hypnotic|Hypoglycaemic,,들쭉나무
175,175,Golden Alexanders,Apiaceae|Umbelliferae,Zizia,aurea,2,2,FullyHardy|MoistSoil|Fullsun,,Febrifuge|Hypnotic|Vulnerary,,지지아아우레아
176,176,Valerian,Valerianaceae,Valeriana,officinalis,2,6,FullyHardy|MoistSoil|Fullsun,Condiment|Tea,Anticonvulsant|Antispasmodic|Carminative|Diuretic|Eczema|Hypnotic|Nervine|Sedative|Stimulant,Compost|Essential|Repellent,설령쥐오줌풀
